Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pre-demographic dividend,PRE,48.9344439307457,51.7515478288284,58.93626650033,59.2363562400827,59.5402350736624,60.2074724802348,60.5568008955552,60.501207001444,60.2752505117259,61.3832880029503,62.1636298902791,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Small states,SST,65.585573984719,66.9881018420458,71.1242805019157,71.3759850327933,71.6556194082547,71.8640735615265,72.0009607335469,71.8255552822673,70.7756825891382,72.3794678577605,72.9007197557042,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,SAS,58.406615379707,62.8036305165364,69.5110334122263,69.9184707063298,70.2904723380061,70.6523573971364,70.9975623145981,70.3622206982499,67.8215299767513,72.0115731308447,72.3247648783903,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia (IDA & IBRD),TSA,58.406615379707,62.8036305165364,69.5110334122263,69.9184707063298,70.2904723380061,70.6523573971364,70.9975623145981,70.3622206982499,67.8215299767513,72.0115731308447,72.3247648783903,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,SSF,50.0362525535801,51.6452445598305,59.398721466191,59.8121001978138,60.1584015341065,60.7667275136709,61.1293218424873,61.1675270829902,60.7034363660672,61.8571795894802,62.6029134885664,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (excluding high income),SSA,50.5280830180809,51.7265175611419,58.9244569362249,59.3199433875513,59.6367115940116,60.2582610385453,60.6065912895076,60.6222294256854,60.1774746494858,61.2833535992957,62.0654798813283,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,50.0362525535801,51.6452445598305,59.398721466191,59.8121001978138,60.1584015341065,60.7667275136709,61.1293218424873,61.1675270829902,60.7034363660672,61.8571795894802,62.6029134885664,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Upper middle income,UMC,67.3594421529339,70.7737035763786,75.1754691734539,75.3404185539196,75.4810427213008,75.8220642064271,76.029480770985,75.2315516201179,74.7276149865895,76.0092804332746,76.1953051028563,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,65.1079831133031,67.6497257264509,71.9647545102466,72.1848945967684,72.3653447819616,72.6436120803356,72.8689103086688,72.1822239463874,71.2154841745704,72.9690157226638,73.3297162833404,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
SP.DYN.LE00.IN,CC BY-4.0,"Life expectancy at birth, total (years)",Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,"World Population Prospects, United Nations (UN), uri: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices, note: Derived from male and female life expectancy at birth from sources such as statistical databases and publications from national statistical offices.;
Demographic Statistics, Eurostat (ESTAT), note: Derived from male and female life expectancy at birth from sources such as Eurostat: Demographic Statistics.",Health: Mortality,WDI,Years,Annual,Weighted average,"Methodology: Life expectancy at birth is derived from life tables and is based on sex- and age-specific death rates, or derived from male and female life expectancy at birth.
Statistical concept(s): Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.
High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.",Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.,https://creativecommons.org/licenses/by/4.0/
